aaaa,45,5544
aaab,5,7404
aaac,41,1240
aaad,66,9065
aaae,48,9247
aaaf,25,2624
aaag,14,8413
aaah,59,4358
aaai,21,6320
aaaj,48,4647
aaba,72,8471
aabb,38,3837
aabc,3,5902
aabd,77,176
aabe,72,6471
aabf,50,2349
aabg,10,109
aabh,6,305
aabi,99,7798
aabj,25,1024
aaca,41,9840
aacb,1,5400
aacc,36,9135
aacd,5,5904
aace,60,3559
aacf,16,3415
aacg,10,8809
aach,85,5484
aaci,79,4278
aacj,86,6885
aada,34,2933
aadb,76,6175
aadc,42,641
aadd,26,525
aade,41,5240
aadf,42,6241
aadg,2,9501
aadh,7,6
aadi,100,599
aadj,75,2174
aaea,6,1005
aaeb,71,9070
aaec,12,6011
aaed,8,6907
aaee,100,5599
aaef,84,2483
aaeg,58,9257
aaeh,61,2060
aaei,41,9140
aaej,8,3407
aafa,85,3084
aafb,81,8980
aafc,8,8807
aafd,72,8571
aafe,38,1237
aaff,19,8718
aafg,87,1986
aafh,99,6398
aafi,3,4202
aafj,17,2616
aaga,84,3283
aagb,89,3488
aagc,44,5143
aagd,26,3925
aage,66,365
aagf,37,6736
aagg,67,166
aagh,68,9867
aagi,43,6742
aagj,18,7117
aaha,94,8393
aahb,48,7747
aahc,40,2539
aahd,5,4404
aahe,7,1006
aahf,91,4490
aahg,40,3239
aahh,64,263
aahi,51,6550
aahj,81,2380
aaia,72,3671
aaib,87,5986
aaic,13,7712
aaid,31,8830
aaie,10,909
aaif,2,5301
aaig,50,7549
aaih,96,2895
aaii,100,1699
aaij,4,8103
aaja,65,1864
aajb,84,4983
aajc,44,7943
aajd,8,7007
aaje,61,5260
aajf,10,8309
aajg,44,3743
aajh,27,5426
aaji,29,4528
aajj,38,6837
abaa,96,8895
abab,22,2921
abac,85,4584
abad,87,7786
abae,78,3677
abaf,92,5591
abag,78,2277
abah,70,3269
abai,7,2206
abaj,80,5179
abba,50,5649
abbb,30,2229
abbc,67,1166
abbd,14,9713
abbe,61,1060
abbf,76,2075
abbg,16,5015
abbh,62,4961
abbi,24,1323
abbj,15,6714
abca,65,3064
abcb,88,3187
abcc,98,1697
abcd,9,1008
abce,47,6546
abcf,10,3309
abcg,70,5669
abch,43,6642
abci,36,8735
abcj,50,6549
abda,80,3479
abdb,83,3982
abdc,23,5822
abdd,65,8064
abde,70,1769
abdf,52,5851
abdg,8,7
abdh,99,398
abdi,21,9120
abdj,14,2213
abea,30,1929
abeb,70,4769
abec,44,4443
abed,96,3095
abee,36,835
abef,56,1855
abeg,24,1523
abeh,51,5850
abei,17,6816
abej,99,9198
abfa,17,8916
abfb,33,6232
abfc,86,2385
abfd,67,6966
abfe,93,3592
abff,84,5283
abfg,76,275
abfh,14,5613
abfi,26,1925
abfj,64,5363
abga,63,2162
abgb,6,5405
abgc,46,9345
abgd,37,4336
abge,22,9821
abgf,67,7466
abgg,89,188
abgh,29,9828
abgi,17,4216
abgj,9,9308
abha,94,8393
abhb,47,6146
abhc,31,430
abhd,89,9188
abhe,94,5593
abhf,66,1265
abhg,44,1043
abhh,69,3468
abhi,68,3467
abhj,12,4211
abia,67,2666
abib,84,2383
abic,97,6796
abid,4,1403
abie,50,9349
abif,41,6740
abig,88,6687
abih,78,5977
abii,55,2354
abij,65,4964
abja,41,1340
abjb,69,868
abjc,70,369
abjd,86,685
abje,58,1557
abjf,91,190
abjg,5,4504
abjh,46,1745
abji,71,6370
abjj,73,5072
acaa,6,7405
acab,17,1116
acac,19,1218
acad,36,7835
acae,5,304
acaf,65,3164
acag,53,5452
acah,1,7700
acai,33,6632
acaj,72,5271
acba,64,8263
acbb,52,5651
acbc,56,7655
acbd,12,1411
acbe,7,3406
acbf,57,3356
acbg,53,8152
acbh,46,6445
acbi,34,9333
acbj,59,6858
acca,11,1410
accb,74,673
accc,27,7726
accd,80,1779
acce,12,7711
accf,84,9283
accg,23,8322
acch,68,8567
acci,81,7380
accj,45,1044
acda,40,3639
acdb,87,4786
acdc,61,2160
acdd,11,1210
acde,74,8973
acdf,66,2465
acdg,75,4374
acdh,27,4426
acdi,18,6517
acdj,59,7358
acea,98,9697
