ejah,2,4,9,5,9,7
efhe,1,5,5,1,5,6
aijh,7,1,3,8,7,2
fhfb,7,6,1,9,7,8
fdif,7,8,6,7,9,1
hfii,7,2,3,7,6,3
fhfe,1,3,6,7,5,8
fbjj,3,6,1,9,6,2
hgie,5,7,5,5,7,8
ahee,6,6,7,5,6,4
ajch,8,2,7,7,9,8
bigc,1,1,3,3,6,4
accd,3,4,9,8,5,1
eecc,9,1,6,1,9,5
gbjf,7,4,1,3,4,7
cbcc,9,7,7,4,3,8
ggec,7,7,7,1,6,6
caia,3,4,8,6,4,4
gaea,5,1,4,6,9,5
ggbj,3,4,8,7,3,8
hegh,8,3,1,9,6,5
jfhh,8,7,1,6,7,2
cijg,9,7,2,6,1,5
cdhj,5,4,2,8,2,3
bgha,9,2,2,3,1,2
jfbe,3,9,7,7,2,9
gfbe,8,7,1,5,5,4
jajc,7,1,4,6,7,3
hffj,3,2,5,4,7,1
jgdf,1,1,4,8,2,1
cegg,4,2,9,2,9,3
ggjj,4,8,6,2,6,1
jcff,1,1,6,3,3,5
befg,7,3,2,6,5,2
bhia,3,6,2,5,4,5
dgjf,5,1,7,2,7,9
fgch,2,9,7,6,3,3
gega,5,3,7,9,3,9
eaii,1,3,6,2,6,4
acba,2,5,6,4,5,5
hadc,8,7,3,7,9,8
jfhe,2,5,9,5,4,3
edfd,7,8,1,5,9,7
dhah,7,2,5,9,1,1
cfdj,6,2,1,2,3,7
bfbb,2,6,2,1,7,6
fghg,3,5,5,7,6,6
jdjj,7,5,4,6,2,3
ijaf,2,6,5,2,2,1
jdii,1,4,1,3,7,8
ddgf,1,8,5,4,2,6
iaif,9,1,3,1,4,5
igfj,1,9,2,9,8,9
ejgb,3,8,2,1,2,4
baja,2,7,9,2,7,5
hgdj,3,8,4,4,5,4
agbj,3,7,4,3,6,1
gidj,7,6,5,4,9,4
cjja,4,6,2,7,5,2
icag,9,8,9,2,4,9
ifja,8,3,6,1,2,3
bcji,4,5,8,2,9,6
adib,4,2,2,9,4,4
adjj,7,5,5,7,7,1
jadg,1,5,4,3,6,9
heef,2,4,5,5,2,2
icjg,5,2,8,8,7,2
ebbf,6,8,3,6,9,8
jbjb,5,3,8,9,7,7
gdcj,7,5,4,1,9,4
dhij,7,3,6,2,2,3
ihff,8,2,6,2,6,1
hfjc,8,6,4,7,5,8
gcej,5,9,2,3,8,9
hbff,4,9,3,7,9,7
haee,1,7,3,5,9,6
hbge,9,2,1,5,2,5
fbca,2,2,4,4,1,8
hdfa,5,9,9,2,2,1
hbbb,9,4,7,5,8,7
hfcg,9,6,2,3,8,4
hfdi,3,3,4,8,9,4
dafa,6,5,8,5,5,6
bagd,7,8,5,8,1,8
ceea,8,4,9,7,4,8
